movieId,title,year,genres,imdbId,tmdbId,tags,ratings
11,"American President, The ",1995,Comedy|Drama|Romance,112346,9087.0,"[[474, 'politics'], [474, 'president']]","[[6, 4.0], [8, 4.0], [33, 2.0], [35, 4.0], [38, 5.0], [42, 5.0], [43, 4.0], [45, 3.0], [56, 4.0], [57, 3.0], [68, 4.5], [84, 4.0], [89, 2.5], [94, 3.0], [100, 4.0], [107, 5.0], [109, 4.0], [113, 3.0], [117, 4.0], [121, 4.0], [140, 4.0], [156, 3.0], [169, 4.0], [174, 5.0], [177, 3.0], [181, 5.0], [199, 4.0], [201, 4.0], [202, 4.0], [235, 4.0], [239, 5.0], [263, 4.0], [290, 4.0], [304, 5.0], [314, 5.0], [322, 4.0], [345, 2.5], [347, 4.0], [353, 4.0], [357, 3.5], [372, 4.0], [373, 2.0], [387, 2.5], [404, 4.0], [410, 3.0], [411, 4.0], [414, 5.0], [438, 4.0], [446, 4.0], [455, 4.0], [469, 3.0], [474, 2.5], [476, 3.0], [489, 1.5], [500, 1.0], [501, 3.0], [514, 4.0], [530, 4.0], [541, 4.0], [566, 5.0], [570, 3.5], [579, 3.0], [587, 4.0], [590, 3.0], [594, 5.0], [597, 3.0], [599, 2.5], [602, 3.0], [606, 2.5], [607, 3.0]]"
12,Dracula: Dead and Loving It ,1995,Comedy|Horror,112896,12110.0,,"[[19, 1.0], [44, 1.0], [120, 3.0], [151, 3.0], [217, 3.0], [273, 1.0], [274, 3.5], [276, 4.0], [288, 2.0], [294, 1.0], [337, 3.0], [350, 3.0], [351, 5.0], [380, 4.0], [448, 2.0], [492, 3.0], [524, 1.0], [571, 1.0], [599, 1.5]]"
13,Balto ,1995,Adventure|Animation|Children,112453,21032.0,,"[[6, 3.0], [19, 3.0], [20, 4.0], [288, 2.0], [304, 4.0], [328, 3.0], [476, 3.0], [509, 3.0]]"
14,Nixon ,1995,Drama,113987,10858.0,"[[474, 'politics'], [474, 'president']]","[[84, 4.0], [90, 5.0], [109, 4.0], [182, 4.0], [206, 4.0], [270, 5.0], [302, 4.0], [337, 3.0], [372, 4.0], [385, 3.0], [437, 3.0], [470, 4.0], [474, 3.0], [492, 3.0], [521, 4.0], [544, 3.0], [602, 5.0], [604, 4.0]]"
15,Cutthroat Island ,1995,Action|Adventure|Romance,112760,1408.0,,"[[6, 4.0], [19, 2.0], [93, 4.0], [136, 5.0], [284, 4.0], [314, 2.0], [414, 2.0], [501, 1.0], [541, 3.0], [559, 3.0], [592, 4.0], [599, 1.5], [606, 3.5]]"
16,Casino ,1995,Crime|Drama,112641,524.0,"[[474, 'Mafia']]","[[6, 4.0], [18, 4.5], [28, 2.5], [42, 5.0], [61, 4.0], [64, 5.0], [68, 3.5], [88, 4.5], [91, 4.5], [100, 4.5], [103, 5.0], [105, 4.5], [109, 4.0], [111, 4.5], [112, 4.5], [121, 5.0], [136, 5.0], [162, 5.0], [177, 3.0], [181, 3.0], [182, 5.0], [187, 4.0], [191, 4.0], [195, 4.0], [201, 4.0], [226, 4.5], [239, 4.5], [240, 3.0], [257, 3.5], [261, 4.0], [266, 5.0], [274, 4.5], [282, 4.0], [287, 2.0], [289, 4.5], [298, 4.0], [303, 2.5], [305, 4.5], [307, 4.5], [310, 1.0], [311, 2.5], [312, 4.0], [317, 5.0], [330, 3.5], [332, 3.5], [337, 4.0], [339, 4.5], [357, 3.5], [362, 4.0], [368, 4.0], [372, 4.0], [373, 4.0], [380, 3.0], [385, 3.0], [386, 4.0], [405, 4.0], [413, 5.0], [414, 3.0], [427, 4.0], [437, 5.0], [444, 4.0], [446, 3.0], [448, 5.0], [453, 3.0], [462, 3.5], [464, 4.5], [474, 4.0], [480, 4.0], [482, 2.0], [483, 4.0], [501, 3.0], [510, 1.0], [514, 3.5], [553, 5.0], [580, 4.5], [585, 5.0], [588, 4.0], [599, 3.0], [602, 3.0], [603, 4.0], [608, 4.5], [610, 4.5]]"
17,Sense and Sensibility ,1995,Drama|Romance,114388,4584.0,"[[474, 'Jane Austen']]","[[6, 4.0], [31, 3.0], [33, 4.0], [38, 3.0], [40, 5.0], [54, 3.0], [68, 3.5], [71, 1.0], [84, 5.0], [90, 5.0], [94, 1.0], [100, 4.5], [112, 0.5], [117, 3.0], [132, 3.0], [144, 4.0], [156, 4.0], [162, 5.0], [166, 4.0], [173, 4.0], [182, 4.0], [191, 5.0], [198, 3.0], [206, 5.0], [214, 3.0], [227, 3.5], [246, 5.0], [262, 3.0], [263, 5.0], [266, 1.0], [270, 4.0], [275, 5.0], [288, 3.5], [301, 4.0], [302, 5.0], [304, 3.0], [314, 4.0], [323, 3.5], [337, 4.0], [346, 4.0], [350, 2.0], [357, 5.0], [389, 4.0], [404, 4.0], [412, 5.0], [414, 4.0], [437, 4.0], [445, 3.5], [446, 5.0], [451, 5.0], [474, 5.0], [488, 5.0], [489, 4.5], [501, 3.0], [509, 3.0], [517, 0.5], [566, 5.0], [572, 5.0], [579, 5.0], [590, 3.5], [594, 4.0], [597, 3.0], [599, 3.5], [600, 3.5], [603, 3.0], [604, 4.0], [606, 4.0]]"
18,Four Rooms ,1995,Comedy,113101,5.0,,"[[44, 4.0], [66, 4.0], [68, 2.0], [95, 3.5], [103, 5.0], [109, 3.0], [179, 4.0], [182, 5.0], [256, 5.0], [295, 3.5], [307, 3.0], [318, 3.0], [380, 4.0], [414, 3.0], [483, 4.0], [489, 2.0], [501, 5.0], [521, 4.0], [599, 3.0], [606, 4.0]]"
19,Ace Ventura: When Nature Calls ,1995,Comedy,112281,9273.0,,"[[6, 2.0], [14, 1.0], [19, 2.0], [21, 2.5], [40, 2.0], [42, 2.0], [45, 4.5], [56, 5.0], [58, 1.0], [64, 3.5], [66, 3.0], [68, 1.5], [91, 2.0], [94, 2.0], [100, 1.0], [103, 3.5], [112, 4.0], [117, 2.0], [121, 2.0], [122, 3.5], [136, 3.0], [139, 1.0], [141, 2.0], [144, 3.0], [156, 3.0], [177, 2.0], [179, 3.0], [200, 3.5], [217, 1.0], [219, 2.5], [222, 3.5], [226, 3.5], [229, 3.0], [240, 5.0], [249, 3.5], [274, 4.0], [276, 4.0], [280, 3.0], [284, 4.0], [292, 1.5], [294, 2.0], [307, 4.0], [308, 1.0], [318, 3.5], [321, 3.0], [323, 2.5], [325, 2.0], [347, 4.0], [353, 4.0], [357, 2.0], [369, 4.0], [373, 1.0], [376, 2.0], [377, 2.0], [379, 2.0], [380, 5.0], [381, 2.5], [408, 3.5], [428, 1.0], [432, 2.0], [438, 3.0], [448, 2.0], [470, 3.0], [475, 4.0], [477, 3.0], [480, 1.5], [483, 3.5], [489, 2.0], [495, 4.5], [497, 4.0], [509, 4.0], [520, 1.0], [524, 3.0], [534, 4.0], [541, 2.0], [552, 3.5], [555, 3.0], [559, 2.0], [565, 3.0], [584, 3.0], [590, 2.0], [592, 4.0], [599, 3.0], [600, 3.0], [602, 2.0], [604, 1.0], [606, 2.0], [608, 2.0]]"
20,Money Train ,1995,Action|Comedy|Crime|Drama|Thriller,113845,11517.0,,"[[78, 3.0], [199, 2.0], [217, 2.0], [239, 3.5], [249, 3.5], [274, 3.5], [284, 1.0], [326, 3.5], [386, 2.0], [448, 3.0], [464, 4.0], [501, 1.0], [524, 2.0], [588, 2.0], [599, 1.5]]"
21,Get Shorty ,1995,Comedy|Crime|Thriller,113161,8012.0,"[[474, 'Hollywood']]","[[4, 3.0], [5, 4.0], [6, 2.0], [8, 4.0], [28, 3.0], [32, 4.0], [33, 4.0], [35, 5.0], [38, 3.0], [40, 4.0], [42, 4.0], [45, 4.0], [54, 3.0], [57, 3.0], [58, 4.0], [66, 4.0], [84, 4.0], [91, 4.0], [94, 3.0], [102, 3.0], [109, 3.0], [112, 2.0], [115, 4.0], [117, 4.0], [135, 3.0], [140, 4.0], [156, 5.0], [181, 2.0], [182, 2.5], [191, 4.0], [199, 4.0], [216, 3.0], [219, 3.5], [229, 4.0], [235, 4.0], [239, 4.0], [242, 3.0], [262, 3.0], [266, 4.0], [273, 5.0], [275, 5.0], [284, 3.0], [288, 4.0], [294, 3.0], [301, 4.0], [302, 4.0], [304, 4.0], [307, 2.5], [308, 1.0], [314, 3.0], [321, 3.0], [356, 3.5], [368, 3.0], [372, 3.0], [373, 1.0], [379, 2.0], [380, 2.0], [385, 5.0], [386, 4.0], [404, 3.0], [410, 3.0], [411, 4.0], [414, 4.0], [438, 3.5], [444, 4.0], [446, 3.0], [448, 2.0], [453, 3.0], [458, 5.0], [462, 4.0], [470, 3.0], [474, 4.0], [480, 2.5], [486, 4.0], [489, 2.5], [501, 3.0], [524, 3.0], [555, 4.0], [565, 3.0], [566, 4.0], [572, 5.0], [587, 4.0], [588, 3.0], [592, 3.0], [597, 5.0], [599, 4.0], [602, 4.0], [603, 5.0], [608, 3.5]]"
22,Copycat ,1995,Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,"[[474, 'serial killer']]","[[6, 5.0], [42, 5.0], [58, 3.0], [64, 3.5], [91, 3.5], [99, 4.0], [121, 3.0], [140, 3.0], [160, 1.0], [181, 3.0], [217, 3.0], [226, 2.0], [274, 3.5], [297, 2.0], [307, 2.0], [314, 3.0], [323, 3.0], [325, 3.0], [353, 5.0], [368, 3.0], [373, 3.0], [386, 3.0], [411, 3.0], [414, 3.0], [428, 2.5], [429, 4.0], [474, 3.0], [489, 3.5], [504, 3.5], [514, 3.0], [541, 4.0], [580, 4.0], [584, 4.0], [588, 3.0], [602, 3.0], [604, 3.0]]"
23,Assassins ,1995,Action|Crime|Thriller,112401,9691.0,,"[[28, 1.5], [43, 5.0], [99, 4.0], [102, 3.0], [136, 5.0], [140, 3.0], [182, 3.5], [239, 3.5], [274, 3.5], [314, 3.0], [414, 2.0], [464, 3.0], [483, 3.0], [524, 2.0], [599, 1.0], [604, 4.0]]"
24,Powder ,1995,Drama|Sci-Fi,114168,12665.0,,"[[6, 4.0], [32, 3.0], [71, 2.0], [111, 2.5], [181, 3.0], [198, 4.0], [201, 4.0], [234, 5.0], [263, 3.0], [266, 1.0], [274, 3.5], [290, 3.0], [307, 2.0], [321, 4.0], [337, 5.0], [342, 3.0], [414, 3.0], [474, 3.0], [477, 4.0], [479, 3.0], [483, 2.5], [518, 2.5], [555, 5.0], [591, 2.0], [592, 4.0], [599, 2.5], [600, 2.0], [608, 2.0]]"
25,Leaving Las Vegas ,1995,Drama|Romance,113627,451.0,"[[474, 'alcoholism']]","[[6, 3.0], [14, 4.0], [31, 2.0], [32, 4.0], [33, 3.0], [36, 2.5], [64, 3.5], [68, 3.5], [84, 5.0], [90, 5.0], [91, 2.0], [95, 5.0], [108, 4.0], [109, 5.0], [112, 2.5], [113, 1.0], [118, 2.0], [121, 4.0], [144, 3.0], [150, 4.0], [156, 4.0], [171, 5.0], [178, 4.5], [181, 1.0], [182, 4.5], [187, 3.0], [191, 5.0], [195, 4.0], [198, 4.0], [199, 5.0], [201, 5.0], [206, 5.0], [214, 2.0], [235, 5.0], [262, 3.0], [265, 1.0], [269, 5.0], [270, 4.0], [275, 3.0], [282, 4.0], [290, 4.0], [302, 5.0], [305, 3.0], [308, 1.0], [330, 4.5], [337, 4.0], [353, 4.0], [372, 4.0], [373, 5.0], [385, 3.0], [386, 2.0], [389, 4.0], [391, 5.0], [402, 3.0], [405, 4.0], [414, 3.0], [432, 4.5], [437, 4.0], [446, 3.0], [451, 5.0], [462, 3.0], [464, 4.0], [474, 3.5], [501, 2.0], [521, 5.0], [524, 3.0], [552, 3.0], [566, 2.0], [570, 4.0], [580, 4.0], [588, 3.0], [589, 5.0], [602, 4.0], [603, 4.0], [604, 3.0], [607, 3.0]]"
26,Othello ,1995,Drama,114057,16420.0,"[[474, 'Shakespeare']]","[[6, 4.0], [32, 4.0], [40, 4.0], [68, 3.0], [117, 4.0], [182, 4.0], [262, 3.0], [314, 4.0], [470, 3.0], [474, 3.5], [483, 4.0], [488, 2.5], [599, 2.5]]"
27,Now and Then ,1995,Children|Drama,114011,9263.0,,"[[6, 3.0], [280, 4.5], [307, 2.5], [337, 5.0], [414, 2.0], [458, 5.0], [474, 2.0], [501, 3.0], [506, 3.0]]"
28,Persuasion ,1995,Drama|Romance,114117,17015.0,"[[474, 'In Netflix queue'], [474, 'Jane Austen']]","[[33, 5.0], [100, 4.5], [177, 2.5], [246, 4.5], [262, 5.0], [474, 4.5], [509, 3.5], [594, 4.5], [603, 5.0], [605, 4.0], [606, 3.5]]"
29,"City of Lost Children, The (Cité des enfants perdus, La) ",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,"[[474, 'kidnapping']]","[[23, 4.0], [43, 5.0], [66, 4.5], [91, 4.0], [95, 5.0], [132, 2.0], [171, 5.0], [182, 4.0], [187, 4.0], [202, 4.0], [221, 4.5], [246, 5.0], [253, 4.5], [260, 4.0], [267, 4.0], [268, 5.0], [274, 4.0], [287, 4.5], [295, 5.0], [313, 4.0], [318, 3.5], [323, 3.5], [325, 4.0], [330, 3.0], [387, 3.5], [391, 5.0], [440, 4.5], [469, 4.0], [474, 3.5], [483, 5.0], [521, 3.0], [555, 4.0], [576, 3.5], [599, 3.5], [600, 4.5], [602, 2.0], [603, 2.0], [606, 4.5]]"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1995,Crime|Drama,115012,37557.0,,"[[325, 4.0], [527, 1.0], [603, 4.0]]"
31,Dangerous Minds ,1995,Drama,112792,9909.0,"[[474, 'high school'], [474, 'teacher']]","[[3, 0.5], [6, 3.0], [28, 2.5], [40, 4.0], [47, 3.0], [58, 4.0], [68, 3.5], [84, 3.0], [104, 4.0], [109, 3.0], [117, 3.0], [131, 3.0], [159, 3.5], [162, 4.0], [181, 3.0], [203, 3.5], [240, 4.0], [282, 4.5], [307, 1.5], [314, 3.0], [337, 5.0], [362, 4.0], [372, 2.0], [387, 2.5], [411, 4.0], [414, 3.0], [426, 5.0], [437, 4.0], [447, 4.0], [464, 4.0], [474, 3.0], [479, 3.0], [483, 2.0], [518, 1.0], [534, 3.5], [561, 2.5], [599, 2.0], [608, 3.0]]"
